2025-08-04 17:50:10 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-04 17:50:10 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 23.0.1 on LAPTOP-FFCSMEI3 with PID 23176 (D:\competition\4\Smart-Manufacture\backend\ruoyi-admin\target\classes started by admin in D:\competition\4\Smart-Manufacture)
2025-08-04 17:50:10 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-08-04 17:50:14 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-08-04 17:50:14 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-08-04 17:50:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-04 17:50:15 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-04 17:50:15 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-04 17:50:15 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-04 17:50:15 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-04 17:50:17 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.ruoyi.workflow.domain.WfDeployForm ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2025-08-04 17:50:17 [main] INFO  c.r.framework.config.JacksonConfig - 初始化 jackson 配置
2025-08-04 17:50:17 [main] INFO  c.ruoyi.framework.config.RedisConfig - 初始化 redis 配置
2025-08-04 17:50:18 [main] INFO  org.redisson.Version - Redisson 3.20.1
2025-08-04 17:50:18 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2025-08-04 17:50:18 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6379
2025-08-04 17:50:18 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2025-08-04 17:50:19 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2025-08-04 17:50:19 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2025-08-04 17:50:19 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2025-08-04 17:50:19 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2025-08-04 17:50:20 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2025-08-04 17:50:21 [main] INFO  liquibase.changelog - Reading from industry_dev.FLW_EV_DATABASECHANGELOG
2025-08-04 17:50:21 [main] INFO  liquibase.lockservice - Successfully released change log lock
2025-08-04 17:50:21 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2025-08-04 17:50:21 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2025-08-04 17:50:21 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2025-08-04 17:50:24 [main] INFO  io.undertow.websockets.jsr - UT026003: Adding annotated server endpoint class com.ruoyi.heart_beat.EndPoint for path /heartbeat
2025-08-04 17:50:24 [main] INFO  io.undertow - starting server: Undertow - 2.2.24.Final
2025-08-04 17:50:24 [main] INFO  org.xnio - XNIO version 3.8.7.Final
2025-08-04 17:50:24 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.7.Final
2025-08-04 17:50:24 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2025-08-04 17:50:24 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 14.385 seconds (JVM running for 15.016)
2025-08-04 17:50:24 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-08-04 17:50:24 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-08-04 17:50:24 [main] WARN  c.b.m.c.t.support.ReflectLambdaMeta - Unable to make field private final java.lang.Class java.lang.invoke.SerializedLambda.capturingClass accessible: module java.base does not "opens java.lang.invoke" to unnamed module @143640d5
2025-08-04 17:50:24 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-08-04 17:50:24 [registrationTask1] WARN  d.c.b.a.c.r.ApplicationRegistrator - Failed to register application as Application(name=RuoYi-Flowable-Plus, managementUrl=http://192.168.1.109:8080/actuator, healthUrl=http://192.168.1.109:8080/actuator/health, serviceUrl=http://192.168.1.109:8080/) at spring-boot-admin ([http://localhost:9090/admin/instances]): I/O error on POST request for "http://localhost:9090/admin/instances": Connect to localhost:9090 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt; nested exception is org.apache.http.conn.HttpHostConnectException: Connect to localhost:9090 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: getsockopt. Further attempts are logged on DEBUG level
2025-08-04 17:50:46 [XNIO-1 task-1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-04 17:53:22 [XNIO-1 task-1] WARN  o.s.w.s.r.ResourceHttpRequestHandler - "Path represents URL or has "url:" prefix: [ https:/api.coze.cn/v3/chat]"
2025-08-04 18:35:41 [XNIO-1 task-1] ERROR c.r.f.w.e.GlobalExceptionHandler - 请求地址'/getInfo',认证失败'Token已过期：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiIxYkZNYTFidjBrRVZEenV5a2hJaWlYT0tnVnJPR25tVSIsInVzZXJJZCI6MX0.AG1zaHvrN8bLPLQo4BD2DPdBOgBvbZlYeI5WpYFPy68',无法访问系统资源
2025-08-04 18:35:42 [XNIO-1 task-1] INFO  c.r.f.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJtaWpqYXd1VTRtT3FVTEtBYVNBeTZ6eENianIyS29WbiIsInVzZXJJZCI6MX0._QI58CtfRKWQV7AFh9JiI_ER6mdsgrVH3vuuhaKLxfM
2025-08-04 18:35:42 [schedule-pool-1] INFO  c.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
